epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,129.227,2.00866,1.45063,1.42316,0.33103,0.2242,0.1977,0.05387,2.69816,2.1411,1.84349,0.000872547,0.000872547,0.000872547
61,131.004,2.02319,1.40888,1.40008,0.40033,0.22582,0.21234,0.05998,2.68754,2.12662,1.84203,0.000863116,0.000863116,0.000863116
62,132.7,1.9932,1.42244,1.403,0.30706,0.28157,0.2115,0.05965,2.71435,2.07588,1.86311,0.000853685,0.000853685,0.000853685
63,134.605,1.94582,1.38217,1.38545,0.28465,0.31209,0.19407,0.05365,2.79519,2.10812,1.92236,0.000844253,0.000844253,0.000844253
64,136.332,1.96063,1.42128,1.4083,0.25186,0.23403,0.18621,0.0509,2.72133,2.08203,1.88321,0.000834822,0.000834822,0.000834822
65,138.343,1.93205,1.37257,1.39737,0.23381,0.23472,0.19242,0.04899,2.69437,2.10097,1.85487,0.00082539,0.00082539,0.00082539
66,139.997,1.98502,1.39792,1.40497,0.59097,0.21628,0.19987,0.05498,2.69547,2.08002,1.84714,0.000815959,0.000815959,0.000815959
67,141.878,1.92773,1.38764,1.38263,0.22923,0.25301,0.19662,0.05366,2.72923,2.10604,1.8631,0.000806528,0.000806528,0.000806528
68,143.535,1.96926,1.38892,1.38427,0.27934,0.21895,0.20019,0.05463,2.76107,2.03989,1.88863,0.000797096,0.000797096,0.000797096
69,145.395,1.93449,1.39346,1.39748,0.3549,0.21818,0.20885,0.05674,2.75894,2.1014,1.92009,0.000787665,0.000787665,0.000787665
70,147.229,1.9935,1.44294,1.43487,0.43278,0.24853,0.21904,0.0599,2.7194,2.12489,1.88542,0.000778233,0.000778233,0.000778233
71,149.005,1.941,1.41066,1.39022,0.27542,0.21204,0.20371,0.05511,2.7527,2.11457,1.92234,0.000768802,0.000768802,0.000768802
