epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,42.3199,2.17177,1.36938,1.44099,0.48651,0.20339,0.20065,0.06175,3.00375,2.23716,2.16575,0.000911,0.000911,0.000911
57,42.7043,2.19498,1.38174,1.45808,0.48651,0.20339,0.20065,0.06175,3.00375,2.23716,2.16575,0.0008912,0.0008912,0.0008912
58,43.1407,2.19574,1.34662,1.41169,0.56072,0.20339,0.23306,0.07009,2.99693,2.24457,2.11742,0.0008714,0.0008714,0.0008714
59,43.6363,2.17343,1.34654,1.4134,0.51502,0.20339,0.24047,0.06857,2.96717,2.18885,2.09831,0.0008516,0.0008516,0.0008516
60,44.1259,2.10407,1.30125,1.36506,0.41186,0.23729,0.25712,0.05713,2.96518,2.16906,2.11172,0.0008318,0.0008318,0.0008318
61,44.7688,2.14477,1.33148,1.41657,0.41186,0.23729,0.25712,0.05713,2.96518,2.16906,2.11172,0.000812,0.000812,0.000812
62,45.6427,2.13116,1.28032,1.38767,0.30134,0.33898,0.273,0.06425,2.91874,2.14838,2.1002,0.0007922,0.0007922,0.0007922
63,46.0876,2.12737,1.35487,1.45279,0.30715,0.25424,0.21756,0.0619,2.9275,2.1759,2.11239,0.0007724,0.0007724,0.0007724
64,46.69,2.08744,1.33747,1.40505,0.30399,0.22211,0.19218,0.0605,2.92539,2.18726,2.09507,0.0007526,0.0007526,0.0007526
65,47.1382,2.08142,1.27646,1.36475,0.30399,0.22211,0.19218,0.0605,2.92539,2.18726,2.09507,0.0007328,0.0007328,0.0007328
66,47.6685,2.08272,1.25951,1.37142,0.46154,0.18644,0.22962,0.06922,2.88088,2.12487,2.0423,0.000713,0.000713,0.000713
67,49.706,2.13482,1.29681,1.36881,0.42052,0.20923,0.22876,0.072,2.89888,2.12978,2.04926,0.0006932,0.0006932,0.0006932
68,50.2438,2.1391,1.35066,1.41218,0.43095,0.22034,0.21315,0.06992,2.88368,2.17552,2.11008,0.0006734,0.0006734,0.0006734
69,50.7907,2.07225,1.29842,1.36948,0.43095,0.22034,0.21315,0.06992,2.88368,2.17552,2.11008,0.0006536,0.0006536,0.0006536
70,51.2532,2.01386,1.2468,1.35551,0.55181,0.20339,0.21843,0.07349,2.8487,2.21839,2.12458,0.0006338,0.0006338,0.0006338
71,51.9724,2.03718,1.28955,1.38237,0.40837,0.22034,0.2341,0.08098,2.76631,2.23685,2.05103,0.000614,0.000614,0.000614
72,52.6549,2.02219,1.23329,1.32904,0.51091,0.20339,0.25791,0.09034,2.77843,2.17811,1.98793,0.0005942,0.0005942,0.0005942
73,53.1842,2.04547,1.23961,1.36302,0.51091,0.20339,0.25791,0.09034,2.77843,2.17811,1.98793,0.0005744,0.0005744,0.0005744
74,53.6543,2.05563,1.21485,1.37047,0.47503,0.20339,0.26624,0.08622,2.76027,2.14584,1.97419,0.0005546,0.0005546,0.0005546
75,54.054,2.02386,1.20701,1.34288,0.51062,0.24773,0.26854,0.07207,2.90361,2.14245,2.0794,0.0005348,0.0005348,0.0005348
76,54.4843,1.86404,1.19364,1.30629,0.50352,0.22034,0.25482,0.06171,3.01402,2.11798,2.19107,0.000515,0.000515,0.000515
77,54.8585,1.99403,1.23649,1.3328,0.50352,0.22034,0.25482,0.06171,3.01402,2.11798,2.19107,0.0004952,0.0004952,0.0004952
78,55.31,1.93643,1.22569,1.35444,0.4841,0.22034,0.25531,0.05997,3.04613,2.10911,2.2492,0.0004754,0.0004754,0.0004754
79,55.7356,1.95621,1.20241,1.33888,0.54279,0.20339,0.24547,0.05966,3.03098,2.15208,2.24513,0.0004556,0.0004556,0.0004556
80,56.1995,2.07904,1.23781,1.41263,0.42993,0.19188,0.21285,0.05859,2.99249,2.13684,2.21084,0.0004358,0.0004358,0.0004358
81,56.6408,1.94016,1.1892,1.3308,0.42993,0.19188,0.21285,0.05859,2.99249,2.13684,2.21084,0.000416,0.000416,0.000416
82,57.1456,1.94008,1.16334,1.30418,0.40248,0.20339,0.20938,0.06193,2.96923,2.09424,2.19122,0.0003962,0.0003962,0.0003962
83,57.724,1.93695,1.17681,1.3402,0.3634,0.23729,0.23497,0.07022,2.94619,2.10017,2.12861,0.0003764,0.0003764,0.0003764
84,58.2725,1.84265,1.15569,1.29597,0.40952,0.25424,0.26885,0.07105,2.92823,2.11771,2.09729,0.0003566,0.0003566,0.0003566
85,58.6908,1.92305,1.13942,1.30515,0.40952,0.25424,0.26885,0.07105,2.92823,2.11771,2.09729,0.0003368,0.0003368,0.0003368
86,59.1235,1.89216,1.19015,1.28903,0.43854,0.25424,0.25712,0.06831,2.92211,2.16054,2.08464,0.000317,0.000317,0.000317
87,59.6123,1.92373,1.18892,1.30538,0.30722,0.24058,0.21796,0.06638,2.85814,2.15297,2.03946,0.0002972,0.0002972,0.0002972
88,60.149,1.85292,1.16516,1.3431,0.45397,0.22034,0.24617,0.07514,2.81434,2.15065,2.02102,0.0002774,0.0002774,0.0002774
89,60.6453,1.84391,1.16336,1.30715,0.45397,0.22034,0.24617,0.07514,2.81434,2.15065,2.02102,0.0002576,0.0002576,0.0002576
90,61.1494,1.876,1.17352,1.36123,0.45771,0.18644,0.25122,0.07713,2.8383,2.2077,2.06331,0.0002378,0.0002378,0.0002378
